daily_screen_time,app_opens,sleep_hours,stress_level,study_interruptions,night_usage,addiction_level
5.4,67,3.8,1,2,No,Moderate
4.3,10,6.9,2,7,No,Low
7.0,48,5.4,9,3,No,Moderate
12.0,16,6.7,2,0,No,Low
8.8,25,6.0,3,15,No,Moderate
9.8,45,5.0,3,13,Yes,Moderate
10.9,53,7.5,6,8,No,Moderate
11.7,37,4.3,6,1,Yes,Moderate
7.5,51,7.4,10,9,No,High
3.9,76,4.5,10,14,No,High
9.4,72,8.4,1,2,Yes,Moderate
1.9,34,6.0,6,12,Yes,Moderate
7.0,23,6.6,5,15,Yes,Moderate
4.6,74,4.2,5,14,No,High
7.3,32,3.9,5,2,Yes,Moderate
1.7,33,6.6,5,6,Yes,Moderate
8.0,52,5.5,1,14,Yes,High
3.2,48,6.6,6,0,Yes,Moderate
8.5,50,4.7,3,6,Yes,Moderate
11.8,8,5.7,3,12,Yes,Moderate
5.3,55,3.4,1,13,Yes,High
3.3,62,6.6,7,8,No,Moderate
6.8,52,7.9,6,9,No,Moderate
9.8,5,3.8,1,10,No,Moderate
8.4,70,4.8,1,8,Yes,High
10.2,13,5.9,4,0,No,Low
6.2,41,4.4,8,15,Yes,High
3.7,77,6.8,9,15,Yes,High
11.0,41,7.0,1,9,Yes,Moderate
1.7,51,8.8,2,4,Yes,Moderate
6.7,55,5.1,1,2,Yes,Moderate
11.5,41,5.2,6,5,Yes,Moderate
10.1,36,8.8,10,0,No,Moderate
10.9,10,8.0,2,12,Yes,Moderate
11.2,31,7.6,4,6,No,Moderate
11.4,74,6.1,8,9,No,High
8.0,9,8.8,7,9,No,Moderate
9.7,33,5.0,7,6,Yes,Moderate
3.4,56,3.6,10,7,No,Moderate
1.9,44,5.7,10,6,No,Moderate
8.7,21,4.6,3,9,No,Moderate
10.0,69,5.8,1,14,No,Moderate
6.6,80,3.0,4,11,No,Moderate
2.6,15,8.9,4,14,Yes,Low
10.2,76,6.4,3,6,No,Moderate
5.5,7,6.9,9,15,Yes,Moderate
10.3,17,6.9,10,7,Yes,Moderate
9.4,55,3.6,2,13,Yes,High
1.9,12,4.9,5,14,No,Moderate
9.6,76,3.8,7,12,Yes,High
11.8,61,7.8,4,11,Yes,Moderate
5.7,65,4.6,4,12,No,Moderate
10.8,77,4.8,6,9,Yes,High
4.2,52,8.9,4,3,No,Low
7.9,10,5.5,7,11,No,Moderate
4.0,58,5.7,2,12,Yes,Moderate
1.6,78,3.6,4,11,Yes,Moderate
2.1,50,7.8,1,7,No,Low
11.0,72,4.7,9,14,No,High
6.8,13,4.9,2,10,Yes,Moderate
5.9,73,4.5,1,13,No,Moderate
10.8,73,5.0,5,2,No,Moderate
10.1,44,8.8,5,6,Yes,Moderate
8.1,18,5.8,7,10,No,Moderate
11.0,17,4.2,3,14,Yes,Moderate
10.7,5,8.9,8,8,No,Moderate
11.5,13,6.7,9,8,No,Moderate
8.8,47,5.4,9,0,Yes,Moderate
5.9,48,5.7,2,9,No,Moderate
6.3,38,6.1,2,6,Yes,Moderate
8.8,12,7.3,6,6,No,Moderate
7.9,72,7.7,7,1,No,Moderate
8.3,6,6.7,2,13,Yes,Moderate
7.5,60,3.1,8,15,No,High
3.5,74,7.7,1,2,Yes,Low
8.8,20,5.6,5,11,Yes,Moderate
9.0,73,3.7,4,3,Yes,Moderate
5.4,10,7.0,4,9,No,Low
5.8,62,7.3,2,7,No,Moderate
6.2,19,4.5,9,10,No,Moderate
2.3,57,3.7,2,9,No,Moderate
9.6,36,7.7,8,6,No,Moderate
8.7,76,5.6,7,10,Yes,High
9.5,52,8.4,10,14,No,High
7.9,10,7.4,4,5,No,Low
11.8,32,4.0,5,14,Yes,High
6.2,34,8.3,6,4,Yes,Moderate
8.2,14,4.6,5,3,Yes,Moderate
6.0,67,3.6,1,13,Yes,High
2.1,65,8.8,3,9,Yes,Moderate
11.6,76,8.0,1,8,Yes,Moderate
4.3,29,7.0,6,4,No,Moderate
11.8,10,8.3,6,11,No,Moderate
7.3,7,5.9,3,4,No,Moderate
9.1,55,7.4,1,8,Yes,Moderate
9.4,37,9.0,6,9,No,Moderate
5.8,71,4.5,7,7,Yes,High
1.2,67,7.2,1,1,No,Low
1.1,67,3.4,5,13,Yes,High
2.6,75,4.3,2,14,Yes,Moderate
11.2,78,3.5,7,8,Yes,High
4.2,32,4.2,8,11,No,High
8.9,64,3.8,5,12,No,High
11.8,5,5.6,1,14,Yes,Moderate
4.8,75,5.7,9,9,Yes,High
7.7,40,8.3,10,3,Yes,Moderate
3.1,40,8.5,2,15,Yes,Moderate
7.0,66,5.3,7,0,Yes,Moderate
10.5,58,6.0,7,3,Yes,Moderate
8.7,33,5.2,4,1,No,Moderate
7.3,65,4.6,10,1,Yes,High
3.5,9,6.2,2,5,Yes,Low
8.3,7,5.0,9,8,No,Moderate
10.0,75,4.8,7,15,Yes,High
10.2,80,8.8,1,2,No,Moderate
6.9,40,5.5,8,7,Yes,Moderate
2.2,29,8.3,1,3,No,Low
2.6,52,5.3,8,2,Yes,Moderate
9.4,52,5.8,7,8,Yes,High
1.8,52,8.8,6,0,Yes,Moderate
2.6,62,7.6,7,0,No,Low
10.2,22,7.7,2,10,Yes,Moderate
11.4,58,7.4,10,12,No,High
9.5,27,4.2,9,6,Yes,High
1.9,22,7.6,2,12,No,Low
12.0,53,6.6,6,5,Yes,High
8.3,38,7.2,1,14,Yes,Moderate
8.9,8,8.1,4,3,No,Low
5.5,51,4.6,10,7,Yes,High
11.2,23,6.2,2,10,Yes,Moderate
6.6,54,7.5,9,8,No,Moderate
2.4,78,8.0,9,14,Yes,Moderate
6.0,16,3.0,1,15,Yes,Moderate
2.9,17,3.4,1,12,Yes,Moderate
1.2,12,3.8,2,1,No,Low
3.4,74,3.5,7,0,Yes,Moderate
4.7,80,8.4,5,12,Yes,Moderate
3.0,14,7.8,3,5,No,Low
2.6,50,8.3,4,2,No,Low
10.5,51,6.1,7,11,Yes,High
8.8,38,7.1,7,0,Yes,Moderate
5.2,31,7.1,7,3,No,Low
3.7,77,3.4,9,15,Yes,High
7.8,38,4.3,1,6,Yes,Moderate
11.0,5,6.4,7,15,No,Moderate
9.8,13,7.5,6,13,No,Moderate
3.8,30,3.1,4,5,No,Moderate
8.4,58,6.1,7,11,No,High
8.7,24,4.1,2,10,No,Moderate
6.4,75,5.9,4,0,No,Moderate
3.2,68,3.8,5,2,No,Moderate
6.1,45,7.2,7,11,Yes,Moderate
9.4,51,7.8,8,2,Yes,Moderate
1.6,39,4.0,1,7,Yes,Moderate
11.0,52,3.3,2,14,No,High
2.8,33,5.1,8,2,No,Moderate
1.5,16,3.0,8,10,Yes,Moderate
5.5,11,6.5,2,10,Yes,Moderate
9.9,5,8.8,3,4,No,Low
10.0,39,6.1,5,10,No,Moderate
2.1,52,5.1,5,6,No,Moderate
1.8,10,7.3,7,13,No,Low
1.8,55,7.0,3,13,No,Moderate
3.6,56,7.1,10,1,Yes,Moderate
8.9,20,3.5,8,13,No,High
8.2,30,6.0,4,14,No,Moderate
7.6,35,5.3,5,0,No,Moderate
1.4,77,6.0,2,2,No,Low
5.4,16,4.3,3,2,Yes,Moderate
10.9,23,5.8,7,4,Yes,Moderate
11.3,16,5.6,4,15,Yes,Moderate
9.3,53,4.4,4,6,Yes,High
3.9,37,5.4,5,3,No,Low
11.8,59,8.6,1,5,No,Moderate
10.0,15,7.4,4,4,Yes,Moderate
2.5,7,3.9,1,6,Yes,Moderate
9.4,28,8.8,4,11,No,Moderate
11.7,41,5.6,8,5,Yes,High
4.8,53,7.9,10,13,Yes,High
10.5,77,7.3,1,12,No,Moderate
4.8,27,6.1,6,10,No,Moderate
3.3,76,4.3,4,6,No,Moderate
2.5,39,5.2,4,8,Yes,Moderate
4.9,75,6.9,10,9,Yes,High
8.8,18,8.2,5,2,Yes,Moderate
10.2,7,7.8,3,0,No,Low
4.0,47,5.7,4,8,No,Low
2.9,30,8.9,1,15,No,Low
10.8,42,7.0,10,5,No,Moderate
2.9,11,5.4,4,8,No,Low
4.0,73,6.4,5,9,No,Moderate
3.9,11,3.8,6,10,No,Moderate
3.9,14,7.9,6,15,No,Low
9.7,28,7.4,2,5,No,Moderate
4.9,55,5.0,7,8,Yes,Moderate
11.8,52,4.2,4,5,No,Moderate
7.7,12,6.1,6,9,Yes,Moderate
7.3,45,7.5,3,12,Yes,Moderate
7.5,42,5.2,3,6,Yes,Moderate
10.5,7,3.6,6,5,No,Moderate
6.7,62,6.6,5,0,Yes,Moderate
3.9,47,3.3,3,12,No,Moderate
7.2,19,5.6,8,9,Yes,High
3.8,43,6.5,6,4,Yes,Moderate
1.4,67,4.1,9,15,No,High
10.4,56,8.7,7,13,Yes,High
8.2,74,5.0,10,4,No,High
6.8,34,5.4,1,9,No,Moderate
5.6,20,6.4,4,7,No,Low
2.9,9,4.2,8,10,Yes,Moderate
6.5,5,5.0,8,13,Yes,Moderate
10.6,28,7.5,1,14,Yes,Moderate
2.0,30,7.3,2,9,Yes,Moderate
9.7,52,5.0,10,7,Yes,High
8.2,65,6.0,10,15,No,High
10.0,16,3.8,1,5,Yes,Moderate
8.2,66,5.6,3,13,Yes,High
10.4,9,6.2,10,10,No,Moderate
10.0,64,7.4,3,10,No,Moderate
7.2,68,9.0,2,11,No,Moderate
4.7,22,3.8,7,2,No,Moderate
10.4,11,4.6,4,5,Yes,Moderate
2.9,79,4.2,6,0,No,Moderate
3.0,77,3.1,10,11,No,High
11.4,66,5.4,10,9,No,High
9.7,6,6.5,2,13,Yes,Moderate
8.0,56,7.5,6,15,Yes,High
10.8,33,4.3,7,11,No,High
6.7,70,7.9,4,11,Yes,Moderate
5.3,19,4.3,10,7,No,Moderate
12.0,18,3.2,2,3,No,Moderate
4.2,27,3.6,8,15,Yes,High
4.6,14,3.0,2,12,Yes,Moderate
11.0,10,6.8,9,5,Yes,Moderate
3.2,28,7.6,5,13,Yes,Moderate
6.2,9,7.5,1,6,Yes,Low
9.0,15,7.1,10,13,Yes,Moderate
8.3,79,5.2,2,13,Yes,High
4.7,71,6.7,7,8,No,Moderate
6.8,9,5.0,10,13,Yes,Moderate
10.6,25,4.9,2,14,Yes,Moderate
9.8,64,6.1,8,0,Yes,High
6.4,48,8.9,1,6,No,Low
8.9,64,3.5,9,0,No,High
11.7,64,5.5,4,15,No,Moderate
6.1,45,4.4,3,4,Yes,Moderate
4.4,67,8.0,7,3,Yes,Moderate
5.2,67,4.1,8,13,No,High
9.9,38,4.3,2,7,No,Moderate
10.1,42,7.7,8,4,Yes,Moderate
11.0,60,7.1,10,6,No,Moderate
6.9,26,7.2,8,2,No,Moderate
8.3,34,4.9,1,15,No,Moderate
6.3,80,8.9,3,1,Yes,Moderate
6.8,25,5.4,4,10,No,Moderate
10.6,68,4.3,8,8,No,High
10.2,50,8.4,5,15,Yes,Moderate
2.7,79,6.5,2,4,No,Moderate
